title,description,mediaType,eps,duration,ongoing,sznOfRelease,years_running,studio_primary,studios_colab,contentWarn,watched,watching,wantWatch,dropped,rating,votes,tag_Based_on_a_Manga,tag_Comedy,tag_Action,tag_Fantasy,tag_Sci_Fi,tag_Shounen,tag_Original_Work,tag_Non_Human_Protagonists,tag_Drama,tag_Adventure,tag_Family_Friendly,tag_Short_Episodes,tag_School_Life,tag_Romance,tag_Shorts,tag_Slice_of_Life,tag_Seinen,tag_Supernatural,tag_Magic,tag_Animal_Protagonists,tag_Ecchi,tag_Mecha,tag_Based_on_a_Light_Novel,tag_CG_Animation,tag_Superpowers,tag_Others,tag_missing
The Abashiri Family,"For sixteen years, the exceptional crime family Abashiri has harbored a dangerous secret that could tear them apart. Made up of the boss and his four children - panty thief Goemon, cyborg Naojiro, explosive-happy Kichiza and martial arts-wiz Kikunosuke – the Abashiri family murdered and stole with ease – until now. On the eve of one last bank job, the boss unveils this secret, which his dying wife swore him to reveal on Kikunosuke's sixteenth birthday: Kikunosuke is a female - the first female born to the Abashiri family in eighteen generations! The boss would like for her to live a normal life, and thus he sends Kikunosuke to a prestigious private academy to train; but little does he know that the school harbors a dark secret, and that Kikunosuke might not make it out alive!",OVA,4,20,FALSE,is_missing,0,Studio Pierrot,1,1,713,30,513,48,2.088,421,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ClariS: Naisho no Hanashi,"Naisho no Hanashi, a song by the pop duo ClariS, was used as the ending theme to Nisemonogatari.",Music Video,1,4,FALSE,is_missing,0,is_missing,0,0,332,2,147,3,2.09,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Black Lion,"In the year 1580, Nobunaga Oda is on a warpath to obtain rulership of Japan at any cost, and ninja and samurai alike are banding together to try to put a stop to his tirade. But when the invincible warrior Ginnai Doma – also known as the Ninja Killer – enters the picture, more than just a little blood will be shed. It's up to Shishimaru of the Iga Ninja and other powerful fighters to take down Ginnai once and for all, but little do they know that aliens, cyborgs, and even strange technology are somehow involved!",OVA,1,44,FALSE,is_missing,0,Others,1,1,749,16,536,15,2.087,490,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gokujou!! Mecha Mote Iinchou,"Mimi Kitagami is the famously attractive, popular chairman of her class, and it’s her dream to become the best class president the school has ever seen. In order to achieve her goal, Mimi will take on any challenge, including agreeing to transform the school’s resident ‘ganguro’, Rika, into a beautiful woman capable of attracting twenty young men to a party. However, it seems she has bitten off more than she can chew when she offers to persuade Toujou, Nishizaki and Nagumono, the trio of super attractive delinquents known as MM3, to join in with class activities; especially when she beings to fall in love with one of them...",TV,51,,FALSE,Spring,1,Others,0,0,328,176,826,252,2.087,370,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fushigi na Kusuri,,Movie,1,15,FALSE,is_missing,0,is_missing,0,0,79,0,32,2,2.086,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ninja Box,"Hiroto longs to build a secret base near his house, and in his house's storeroom he meets a ninja and ""Nintuber"" named Tonkachi. Tonkachi, who knows about the existence of the ""Ninja Box,"" forces Tonkachi to go to the ""Village of Tatemakuri,"" where they meet a talking dog named Tatezou.",Web,6,12,FALSE,Summer,0,Tatsunoko Production,0,0,18,1,26,1,2.086,13,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strange+,"Kou is searching for his older brother Takumi, who left home and has gone missing in the city. Worried that he's in trouble, Kou decides not to go home until he's found him, only to find him all too easily. Takumi, it turns out, has become head of the Mikuni Detective Agency, and has no intention of going back home. Kou decides that if he can't make Takumi return, then he'll join the agency himself.",TV,12,4,FALSE,Winter,0,Others,0,0,1663,240,1290,427,2.085,1450,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Platonic Chain,"Platonic Chain consists of short 6 minute episodes completely done with computer graphics. The series explores different facets of human life/interaction through an interesting idea: the presence of a computer program that knows of your most embarassing moments, your likes and dislikes, your ideal diet plan, the routes you take to get places, and more!",TV,24,6,FALSE,Fall,1,is_missing,0,0,289,14,383,60,2.085,181,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ba La La Xiao Mo Xian Zhi: Meng Huan Xuan Lu,"To help the Fairy Queen find her disappeared friend Melody, who was a skillful music fairy from the Music Castle, Shirley, Maggie, Michelle and Emma encounter nine Musical Magicians and fight with dark musical fairy Voiceless. Shirley and the fairies suspect that Melody is connected with the dark power behind the scene. What is the truth?",TV,52,,FALSE,is_missing,0,is_missing,0,0,28,5,90,8,2.085,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seizei Gambare Mahou Shoujo Kurumi 2nd Season,Second season of  Seizei Gambare Mahou Shoujo Kurumi.,Web,25,4,FALSE,Fall,1,Others,0,0,11,3,62,4,2.085,13,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
APOGEE: Spring Stranger,,Music Video,1,4,FALSE,is_missing,0,is_missing,0,0,39,0,12,0,2.084,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
